#File_name	Redshift	Galaxy_Type
sc_M081C001com_Q1_001_01	0.763	4
sc_M081C001com_Q1_002_01	0.778	4
sc_M081C001com_Q1_003_01	0.773	4
sc_M081C001com_Q1_004_01	0.776	4
sc_M081C001com_Q1_005_01	0.782	4
sc_M081C001com_Q1_008_01	0.766	4
sc_M081C001com_Q1_009_02	0.764	1
sc_M081C001com_Q1_010_01	0.753	1
sc_M081C001com_Q1_011_01	0.768	4
sc_M081C001com_Q1_016_02	0.772	1
sc_M081C001com_Q2_003_01	0.752	1
sc_M081C001com_Q2_004_01	0.771	0
sc_M081C001com_Q2_013_01	0.790	4
sc_M060C003com_Q1_001_02	1.229	3
sc_M060C003com_Q1_002_01	1.239	3
sc_M060C003com_Q1_004_01	1.231	0
sc_M060C003com_Q1_005_01	1.228	4
sc_M060C003com_Q1_010_01	1.231	4
sc_M060C003com_Q1_016_01	1.232	1
sc_M060C003com_Q1_025_01	1.232	2
sc_M060C003com_Q2_008_01	1.226	4
sc_M069C162bray_Q1_001_01	0.930	4
sc_M069C162bray_Q1_002_02	0.940	4
sc_M069C162bray_Q1_002_03	0.947	2
sc_M069C162bray_Q1_003_01	0.943	4
sc_M069C162bray_Q1_005_01	0.939	4
sc_M069C162bray_Q1_007_01	0.937	2
sc_M069C162bray_Q1_008_01	0.944	4
sc_M069C162bray_Q1_011_01	0.946	4
sc_M069C162bray_Q1_012_01	0.942	4
sc_M069C162bray_Q1_015_01	0.938	4
sc_M069C162bray_Q1_018_01	0.941	4
sc_M069C162bray_Q1_023_01	0.936	0
sc_M069C162bray_Q1_024_01	0.937	0
sc_M069C162bray_Q1_028_01	0.936	1
sc_M069C162bray_Q2_001_01	0.938	2
sc_M069C162bray_Q2_011_01	0.938	2
sc_M114C012com_Q1_001_01	0.949	4
sc_M114C012com_Q1_002_01	0.951	2
sc_M114C012com_Q1_003_01	0.958	4
sc_M114C012com_Q1_007_01	0.960	3
sc_M114C012com_Q1_009_01	0.960	1
sc_M114C012com_Q1_012_01	0.960	4
sc_M043com_Q1_001_01	1.195	4
sc_M043com_Q1_002_01	1.214	2
sc_M043com_Q1_004_02	1.206	0
sc_M043com_Q1_005_01	1.206	2
